path,relative_path,suffix,size_bytes,sha256_12,rows,columns,column_names,date_columns,min_date,max_date,categorical_hints,candidate_pages,error
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_all_methods_gross_daily.parquet,data/processed/backtest_all_methods_gross_daily.parquet,.parquet,358221,2cf8146ec3f7,8050,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000480.8801295199"", ""1001053.340729197"", ""1001079.5881971756"", ""1001837.7773045121"", ""1002616.5283560705"", ""1003387.6225050106"", ""1003509.4790393843"", ""1003634.5588845081"", ""1003694.6688989485"", ""1005494.2877290408"", ""1005743.1425329653"", ""1005935.1968425172"", ""1006396.6231640149"", ""1007117.507944166"", ""1007398.7665006472"", ""1007866.999740293"", ""1007905.3246815973"", ""1007919.0657173826"", ""1008300.3027272638"", ""1008478.4243546053"", ""1008504.9695643674"", ""1009195.8381151856"", ""1009207.475518866"", ""1010049.454326415"", ""1010746.6642165662"", ""1010859.884060138"", ""1011096.6828475919"", ""1012671.5467071964"", ""1012931.8122320911"", ""1012945.5614436882""], ""strategy_name"": [""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]}",overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_all_methods_net_daily.parquet,data/processed/backtest_all_methods_net_daily.parquet,.parquet,399368,683b97a7b5f2,8050,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000424.8726010929"", ""1000665.9254884965"", ""1001435.5194642242"", ""1001908.7469748723"", ""1002043.2655481522"", ""1003181.3413748221"", ""1004096.2171385542"", ""1004138.8474759256"", ""1004997.2979382211"", ""1005420.7234274165"", ""1005520.6922853866"", ""1005906.1820156439"", ""1005978.0190626371"", ""1006302.5512556972"", ""1006497.5844946946"", ""1006696.9012063432"", ""1006869.7661565997"", ""1006901.2425817596"", ""1007551.643535051"", ""1007586.0355461162"", ""1009252.4122869414"", ""1009533.7988776442"", ""1010229.4865849346"", ""1010579.8661980013"", ""1010701.3816769464"", ""1011175.3990128232"", ""1011269.8696357432"", ""1011339.505227561"", ""1012788.8803997055"", ""1012971.7011501483""], ""strategy_name"": [""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]}",overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_mvp_daily.parquet,data/processed/backtest_mvp_daily.parquet,.parquet,383941,28c1aee1e3e7,8050,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000337.8315806201"", ""1000984.1275053712"", ""1001477.97680403"", ""1002191.4894520735"", ""1002217.307351647"", ""1002520.1657356645"", ""1002706.533757906"", ""1002736.5550396277"", ""1002981.6561333239"", ""1004378.2705532413"", ""1004925.464838412"", ""1006074.203405586"", ""1006199.4731258465"", ""1006390.3047100883"", ""1006524.2071581585"", ""1007613.7273554499"", ""1008032.5186401561"", ""1008260.9895069401"", ""1008269.9683788145"", ""1008420.2872463526"", ""1008954.3337997695"", ""1009046.109044271"", ""1009110.2410488465"", ""1009239.8989205156"", ""1009805.0661622697"", ""1010340.6020844376"", ""1010839.9625476062"", ""1011112.8245495692"", ""1011472.7360362157"", ""1011515.0045147279""], ""strategy_name"": [""elastic_net_score_weighted"", ""elastic_net_top20_equal_weight"", ""momentum_3m_top20_equal_weight"", ""ridge_top20_equal_weight"", ""universe_equal_weight""]}",,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_mvp_with_benchmarks_daily.parquet,data/processed/backtest_mvp_with_benchmarks_daily.parquet,.parquet,422384,01bbf8e15749,9660,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000337.8315806201"", ""1000984.1275053712"", ""1001306.4661399277"", ""1001379.9066223331"", ""1001477.97680403"", ""1001587.6087190512"", ""1002191.4894520735"", ""1002217.307351647"", ""1002492.5816494233"", ""1002520.1657356645"", ""1002706.533757906"", ""1002736.5550396277"", ""1002981.6561333239"", ""1004209.6408155196"", ""1004378.2705532413"", ""1004409.1713656039"", ""1004615.2184655356"", ""1004925.464838412"", ""1006074.203405586"", ""1006199.4731258465"", ""1006390.3047100883"", ""1006524.2071581585"", ""1007613.7273554499"", ""1008032.5186401561"", ""1008080.0576755793"", ""1008260.9895069401"", ""1008269.9683788145"", ""1008420.2872463526"", ""1008891.6267248078"", ""1008954.3337997695""], ""strategy_name"": [""elastic_net_score_weighted"", ""elastic_net_top20_equal_weight"", ""momentum_3m_top20_equal_weight"", ""ridge_top20_equal_weight"", ""spy_buy_and_hold"", ""universe_equal_weight""]}",,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\benchmark_spy_daily.parquet,data/processed/benchmark_spy_daily.parquet,.parquet,162092,3f3513c1a3aa,3159,8,date|ticker|open|high|low|close|adjusted_close|volume,date,2014-01-02T00:00:00,2026-07-27T00:00:00,{},overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-01-31.parquet,data/processed/covariance_matrices/2020-01-31.parquet,.parquet,31347,faccda426d8b,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-01-31T00:00:00,2020-01-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-02-28.parquet,data/processed/covariance_matrices/2020-02-28.parquet,.parquet,31347,5deae235cc7c,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-02-28T00:00:00,2020-02-28T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-03-31.parquet,data/processed/covariance_matrices/2020-03-31.parquet,.parquet,31347,07f63e96e97a,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-03-31T00:00:00,2020-03-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-04-30.parquet,data/processed/covariance_matrices/2020-04-30.parquet,.parquet,31347,cc569b121b3d,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-04-30T00:00:00,2020-04-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-05-29.parquet,data/processed/covariance_matrices/2020-05-29.parquet,.parquet,31347,4b305b79491e,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-05-29T00:00:00,2020-05-29T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-06-30.parquet,data/processed/covariance_matrices/2020-06-30.parquet,.parquet,31347,e0728787626d,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-06-30T00:00:00,2020-06-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-07-31.parquet,data/processed/covariance_matrices/2020-07-31.parquet,.parquet,31347,b5921ea3962a,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-07-31T00:00:00,2020-07-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-08-31.parquet,data/processed/covariance_matrices/2020-08-31.parquet,.parquet,31347,43a3a6f87345,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-08-31T00:00:00,2020-08-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-09-30.parquet,data/processed/covariance_matrices/2020-09-30.parquet,.parquet,31347,bf0e007c0a37,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-09-30T00:00:00,2020-09-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-10-30.parquet,data/processed/covariance_matrices/2020-10-30.parquet,.parquet,31347,22e406fb932f,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-10-30T00:00:00,2020-10-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-11-30.parquet,data/processed/covariance_matrices/2020-11-30.parquet,.parquet,31347,71f77a655436,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-11-30T00:00:00,2020-11-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2020-12-31.parquet,data/processed/covariance_matrices/2020-12-31.parquet,.parquet,31347,f870fd4a6041,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2020-12-31T00:00:00,2020-12-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-01-29.parquet,data/processed/covariance_matrices/2021-01-29.parquet,.parquet,31347,99220e779f27,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-01-29T00:00:00,2021-01-29T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-02-26.parquet,data/processed/covariance_matrices/2021-02-26.parquet,.parquet,31347,854e3d658320,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-02-26T00:00:00,2021-02-26T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-03-31.parquet,data/processed/covariance_matrices/2021-03-31.parquet,.parquet,31347,bc3d22860d7e,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-03-31T00:00:00,2021-03-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-04-30.parquet,data/processed/covariance_matrices/2021-04-30.parquet,.parquet,31347,f33de7d216f6,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-04-30T00:00:00,2021-04-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-05-28.parquet,data/processed/covariance_matrices/2021-05-28.parquet,.parquet,31347,fc1c3cecb978,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-05-28T00:00:00,2021-05-28T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-06-30.parquet,data/processed/covariance_matrices/2021-06-30.parquet,.parquet,31347,78acbf6b3f87,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-06-30T00:00:00,2021-06-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-07-30.parquet,data/processed/covariance_matrices/2021-07-30.parquet,.parquet,31347,0008097226de,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-07-30T00:00:00,2021-07-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-08-31.parquet,data/processed/covariance_matrices/2021-08-31.parquet,.parquet,31347,6877d1a80527,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-08-31T00:00:00,2021-08-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-09-30.parquet,data/processed/covariance_matrices/2021-09-30.parquet,.parquet,31347,0e71ee6c3886,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-09-30T00:00:00,2021-09-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-10-29.parquet,data/processed/covariance_matrices/2021-10-29.parquet,.parquet,31347,13201f40d1d3,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-10-29T00:00:00,2021-10-29T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-11-30.parquet,data/processed/covariance_matrices/2021-11-30.parquet,.parquet,31347,8fde25611bf4,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-11-30T00:00:00,2021-11-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2021-12-31.parquet,data/processed/covariance_matrices/2021-12-31.parquet,.parquet,31347,cff6d7f3e8d1,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2021-12-31T00:00:00,2021-12-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-01-31.parquet,data/processed/covariance_matrices/2022-01-31.parquet,.parquet,31347,851777d65383,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-01-31T00:00:00,2022-01-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-02-28.parquet,data/processed/covariance_matrices/2022-02-28.parquet,.parquet,31347,ccfafc950bb5,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-02-28T00:00:00,2022-02-28T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-03-31.parquet,data/processed/covariance_matrices/2022-03-31.parquet,.parquet,31347,5709d9e390b2,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-03-31T00:00:00,2022-03-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-04-29.parquet,data/processed/covariance_matrices/2022-04-29.parquet,.parquet,31347,8ee782dd7d9e,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-04-29T00:00:00,2022-04-29T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-05-31.parquet,data/processed/covariance_matrices/2022-05-31.parquet,.parquet,31347,b6668bf92811,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-05-31T00:00:00,2022-05-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-06-30.parquet,data/processed/covariance_matrices/2022-06-30.parquet,.parquet,31347,7a9d7b8abc07,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-06-30T00:00:00,2022-06-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-07-29.parquet,data/processed/covariance_matrices/2022-07-29.parquet,.parquet,31347,4e875cd91e44,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-07-29T00:00:00,2022-07-29T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-08-31.parquet,data/processed/covariance_matrices/2022-08-31.parquet,.parquet,31347,b05f66e9e35d,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-08-31T00:00:00,2022-08-31T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-09-30.parquet,data/processed/covariance_matrices/2022-09-30.parquet,.parquet,31347,bc7b8b8f3108,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-09-30T00:00:00,2022-09-30T00:00:00,{},,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\covariance_matrices\2022-10-31.parquet,data/processed/covariance_matrices/2022-10-31.parquet,.parquet,31347,8c2e1e2aca45,2500,5,as_of_date|ticker_a|ticker_b|annualized_covariance|correlation,as_of_date,2022-10-31T00:00:00,2022-10-31T00:00:00,{},,
